Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
E,Analytical,CBR16,D,Dawn3,1,12,10min
E,Analytical,CBR16,E,Dawn3,17,12,10min
E,Analytical,CBR16,VJR,Dawn3,0,12,10min
VJR,Analytical,CBR16,D,Dawn3,1,12,10min
VJR,Analytical,CBR16,E,Dawn3,2,12,10min
VJR,Analytical,CBR16,VJR,Dawn3,17,12,10min
D,Analytical,CBR16,D,Dusk1,15,12,10min
D,Analytical,CBR16,E,Dusk1,5,12,10min
D,Analytical,CBR16,VJR,Dusk1,4,12,10min
E,Analytical,CBR16,D,Dusk1,3,12,10min
E,Analytical,CBR16,E,Dusk1,20,12,10min
E,Analytical,CBR16,VJR,Dusk1,1,12,10min
VJR,Analytical,CBR16,D,Dusk1,0,12,10min
VJR,Analytical,CBR16,E,Dusk1,1,12,10min
VJR,Analytical,CBR16,VJR,Dusk1,23,12,10min
D,Analytical,CBR16,D,Dusk2,11,12,10min
D,Analytical,CBR16,E,Dusk2,10,12,10min
D,Analytical,CBR16,VJR,Dusk2,3,12,10min
E,Analytical,CBR16,D,Dusk2,2,12,10min
E,Analytical,CBR16,E,Dusk2,17,12,10min
E,Analytical,CBR16,VJR,Dusk2,5,12,10min
VJR,Analytical,CBR16,D,Dusk2,0,12,10min
VJR,Analytical,CBR16,E,Dusk2,12,12,10min
VJR,Analytical,CBR16,VJR,Dusk2,12,12,10min
D,Analytical,CBR16,D,Dusk3,13,12,10min
D,Analytical,CBR16,E,Dusk3,0,12,10min
D,Analytical,CBR16,VJR,Dusk3,11,12,10min
E,Analytical,CBR16,D,Dusk3,0,12,10min
E,Analytical,CBR16,E,Dusk3,10,12,10min
E,Analytical,CBR16,VJR,Dusk3,14,12,10min
VJR,Analytical,CBR16,D,Dusk3,1,12,10min
VJR,Analytical,CBR16,E,Dusk3,7,12,10min
VJR,Analytical,CBR16,VJR,Dusk3,16,12,10min
D,Analytical,CBR16,D,Midday1,20,12,10min
D,Analytical,CBR16,E,Midday1,3,12,10min
D,Analytical,CBR16,VJR,Midday1,5,12,10min
E,Analytical,CBR16,D,Midday1,0,12,10min
E,Analytical,CBR16,E,Midday1,19,12,10min
E,Analytical,CBR16,VJR,Midday1,5,12,10min
VJR,Analytical,CBR16,D,Midday1,1,12,10min
VJR,Analytical,CBR16,E,Midday1,3,12,10min
VJR,Analytical,CBR16,VJR,Midday1,14,12,10min
D,Analytical,CBR16,D,Midday2,23,12,10min
D,Analytical,CBR16,E,Midday2,1,12,10min
D,Analytical,CBR16,VJR,Midday2,0,12,10min
E,Analytical,CBR16,D,Midday2,1,12,10min
E,Analytical,CBR16,E,Midday2,22,12,10min
E,Analytical,CBR16,VJR,Midday2,1,12,10min
VJR,Analytical,CBR16,D,Midday2,2,12,10min
VJR,Analytical,CBR16,E,Midday2,0,12,10min
VJR,Analytical,CBR16,VJR,Midday2,22,12,10min
D,Analytical,CBR16,D,Midday3,20,12,10min
D,Analytical,CBR16,E,Midday3,4,12,10min
D,Analytical,CBR16,VJR,Midday3,0,12,10min
E,Analytical,CBR16,D,Midday3,2,12,10min
E,Analytical,CBR16,E,Midday3,21,12,10min
E,Analytical,CBR16,VJR,Midday3,1,12,10min
VJR,Analytical,CBR16,D,Midday3,0,12,10min
VJR,Analytical,CBR16,E,Midday3,0,12,10min
VJR,Analytical,CBR16,VJR,Midday3,24,12,10min
D,Analytical,CBR16,D,Midnight1,14,12,10min
D,Analytical,CBR16,E,Midnight1,3,12,10min
D,Analytical,CBR16,VJR,Midnight1,7,12,10min
E,Analytical,CBR16,D,Midnight1,0,12,10min
