compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
CBR32,4.16,20min,0.943925234,0.943876941,0.94234997,Dawn,4,AudioSet
CBR32,4.16,20min,0.916666667,0.925578487,0.916666667,Dusk,4,AudioSet
CBR32,4.16,20min,0.935779817,0.935201826,0.931902357,Midday,4,AudioSet
CBR32,4.16,20min,0.981481481,0.981481481,0.981481481,Midnight,4,AudioSet
CBR320,41.6,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
CBR320,41.6,20min,0.925925926,0.934837093,0.925925926,Dusk,4,AudioSet
CBR320,41.6,20min,0.981651376,0.980952381,0.982407407,Midday,4,AudioSet
CBR320,41.6,20min,1,1,1,Midnight,4,AudioSet
CBR64,8.33,20min,0.925233645,0.929418252,0.925683304,Dawn,4,AudioSet
CBR64,8.33,20min,0.944444444,0.947916667,0.944444444,Dusk,4,AudioSet
CBR64,8.33,20min,0.908256881,0.906883664,0.907744108,Midday,4,AudioSet
CBR64,8.33,20min,0.972222222,0.972458172,0.972222222,Midnight,4,AudioSet
CBR8,1.04,20min,0.943925234,0.941071429,0.940582294,Dawn,4,AudioSet
CBR8,1.04,20min,0.842592593,0.861112417,0.842592593,Dusk,4,AudioSet
CBR8,1.04,20min,0.899082569,0.899472258,0.895622896,Midday,4,AudioSet
CBR8,1.04,20min,0.87037037,0.874269006,0.87037037,Midnight,4,AudioSet
RAW,100,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
RAW,100,20min,0.925925926,0.934837093,0.925925926,Dusk,4,AudioSet
RAW,100,20min,0.981651376,0.980952381,0.982407407,Midday,4,AudioSet
RAW,100,20min,1,1,1,Midnight,4,AudioSet
VBR0,22.56,20min,0.953271028,0.952210275,0.950683304,Dawn,4,AudioSet
VBR0,22.56,20min,0.935185185,0.943371943,0.935185185,Dusk,4,AudioSet
VBR0,22.56,20min,0.981651376,0.980952381,0.982407407,Midday,4,AudioSet
VBR0,22.56,20min,1,1,1,Midnight,4,AudioSet
CBR128,16.667,5min,0.947867299,0.948582766,0.94583157,Dawn,4,AudioSet
CBR128,16.667,5min,0.875,0.888855417,0.875,Dusk,4,AudioSet
CBR128,16.667,5min,0.963133641,0.962153354,0.963853276,Midday,4,AudioSet
CBR128,16.667,5min,0.993055556,0.993071297,0.993055556,Midnight,4,AudioSet
CBR16,2.08,5min,0.931279621,0.935236464,0.928840022,Dawn,4,AudioSet
CBR16,2.08,5min,0.905092593,0.911674477,0.905092593,Dusk,4,AudioSet
CBR16,2.08,5min,0.947004608,0.945838833,0.947881054,Midday,4,AudioSet
CBR16,2.08,5min,0.935185185,0.94202411,0.935185185,Midnight,4,AudioSet
CBR256,33.35,5min,0.950236967,0.951651652,0.94874052,Dawn,4,AudioSet
CBR256,33.35,5min,0.868055556,0.88550726,0.868055556,Dusk,4,AudioSet
CBR256,33.35,5min,0.965437788,0.965174865,0.966666667,Midday,4,AudioSet
CBR256,33.35,5min,0.997685185,0.997701149,0.997685185,Midnight,4,AudioSet
CBR32,4.16,5min,0.950236967,0.949784066,0.950084265,Dawn,4,AudioSet
CBR32,4.16,5min,0.893518519,0.899880487,0.893518519,Dusk,4,AudioSet
CBR32,4.16,5min,0.951612903,0.949835967,0.951014957,Midday,4,AudioSet
CBR32,4.16,5min,0.969907407,0.970039079,0.969907407,Midnight,4,AudioSet
CBR320,41.6,5min,0.954976303,0.955722734,0.953715644,Dawn,4,AudioSet
CBR320,41.6,5min,0.868055556,0.883169935,0.868055556,Dusk,4,AudioSet
CBR320,41.6,5min,0.960829493,0.960468744,0.961787749,Midday,4,AudioSet
CBR320,41.6,5min,0.99537037,0.99537037,0.99537037,Midnight,4,AudioSet
CBR64,8.33,5min,0.928909953,0.932426158,0.928789465,Dawn,4,AudioSet
CBR64,8.33,5min,0.891203704,0.896979623,0.891203704,Dusk,4,AudioSet
CBR64,8.33,5min,0.921658986,0.920565876,0.921082621,Midday,4,AudioSet
CBR64,8.33,5min,0.974537037,0.974670719,0.974537037,Midnight,4,AudioSet
CBR8,1.04,5min,0.933649289,0.932052034,0.929949489,Dawn,4,AudioSet
CBR8,1.04,5min,0.835648148,0.851287009,0.835648148,Dusk,4,AudioSet
CBR8,1.04,5min,0.905529954,0.904135906,0.902581909,Midday,4,AudioSet
CBR8,1.04,5min,0.861111111,0.872756982,0.861111111,Midnight,4,AudioSet
RAW,100,5min,0.950236967,0.951651652,0.94874052,Dawn,4,AudioSet
RAW,100,5min,0.865740741,0.883223974,0.865740741,Dusk,4,AudioSet
RAW,100,5min,0.960829493,0.960354769,0.962019231,Midday,4,AudioSet
RAW,100,5min,0.993055556,0.993071297,0.993055556,Midnight,4,AudioSet
VBR0,22.56,5min,0.950236967,0.951604966,0.9483761,Dawn,4,AudioSet
VBR0,22.56,5min,0.863425926,0.879248366,0.863425926,Dusk,4,AudioSet
VBR0,22.56,5min,0.963133641,0.962491521,0.964102564,Midday,4,AudioSet
VBR0,22.56,5min,0.99537037,0.99537037,0.99537037,Midnight,4,AudioSet
CBR128,16.667,10min,0.925925926,0.939393939,0.925925926,Dawn1,8,AudioSet
CBR128,16.667,10min,0.952830189,0.948191593,0.95290404,Dawn2,8,AudioSet
CBR128,16.667,10min,0.907407407,0.909273183,0.907407407,Dusk1,8,AudioSet
CBR128,16.667,10min,0.898148148,0.921985816,0.898148148,Dusk2,8,AudioSet
CBR128,16.667,10min,0.952830189,0.951260504,0.956481481,Midday1,8,AudioSet
CBR128,16.667,10min,0.990740741,0.990990991,0.990740741,Midday2,8,AudioSet
CBR128,16.667,10min,0.981481481,0.98245614,0.981481481,Midnight1,8,AudioSet
CBR128,16.667,10min,0.990740741,0.990990991,0.990740741,Midnight2,8,AudioSet
CBR16,2.08,10min,0.878504673,0.911564626,0.879365079,Dawn1,8,AudioSet
CBR16,2.08,10min,1,1,1,Dawn2,8,AudioSet
CBR16,2.08,10min,0.981308411,0.981467181,0.981216931,Dusk1,8,AudioSet
CBR16,2.08,10min,0.907407407,0.914995823,0.907407407,Dusk2,8,AudioSet
CBR16,2.08,10min,0.951923077,0.949792038,0.952339181,Midday1,8,AudioSet
CBR16,2.08,10min,0.981481481,0.981481481,0.981481481,Midday2,8,AudioSet
CBR16,2.08,10min,0.932692308,0.933551198,0.932773109,Midnight1,8,AudioSet
CBR16,2.08,10min,0.932692308,0.944444444,0.931372549,Midnight2,8,AudioSet
CBR256,33.35,10min,0.944444444,0.952380952,0.944444444,Dawn1,8,AudioSet
CBR256,33.35,10min,0.962264151,0.95766129,0.960479798,Dawn2,8,AudioSet
CBR256,33.35,10min,0.925925926,0.925753927,0.925925926,Dusk1,8,AudioSet
CBR256,33.35,10min,0.898148148,0.921985816,0.898148148,Dusk2,8,AudioSet
CBR256,33.35,10min,0.933962264,0.934640523,0.938888889,Midday1,8,AudioSet
CBR256,33.35,10min,0.981481481,0.981981982,0.981481481,Midday2,8,AudioSet
CBR256,33.35,10min,1,1,1,Midnight1,8,AudioSet
CBR256,33.35,10min,0.990740741,0.990990991,0.990740741,Midnight2,8,AudioSet
CBR32,4.16,10min,0.944444444,0.952380952,0.944444444,Dawn1,8,AudioSet
CBR32,4.16,10min,0.951923077,0.948863636,0.95823956,Dawn2,8,AudioSet
CBR32,4.16,10min,0.943396226,0.942810458,0.942810458,Dusk1,8,AudioSet
CBR32,4.16,10min,0.897196262,0.920289855,0.898148148,Dusk2,8,AudioSet
CBR32,4.16,10min,0.942857143,0.939814815,0.943253968,Midday1,8,AudioSet
CBR32,4.16,10min,0.953271028,0.956802957,0.953703704,Midday2,8,AudioSet
CBR32,4.16,10min,0.962264151,0.966666667,0.960784314,Midnight1,8,AudioSet
CBR32,4.16,10min,0.971962617,0.974358974,0.971428571,Midnight2,8,AudioSet
CBR320,41.6,10min,0.944444444,0.952380952,0.944444444,Dawn1,8,AudioSet
CBR320,41.6,10min,0.962264151,0.95766129,0.960479798,Dawn2,8,AudioSet
CBR320,41.6,10min,0.944444444,0.944817108,0.944444444,Dusk1,8,AudioSet
CBR320,41.6,10min,0.898148148,0.921985816,0.898148148,Dusk2,8,AudioSet
CBR320,41.6,10min,0.924528302,0.927133015,0.930555556,Midday1,8,AudioSet
CBR320,41.6,10min,0.990740741,0.990990991,0.990740741,Midday2,8,AudioSet
CBR320,41.6,10min,0.990740741,0.990990991,0.990740741,Midnight1,8,AudioSet
CBR320,41.6,10min,0.990740741,0.990990991,0.990740741,Midnight2,8,AudioSet
CBR64,8.33,10min,0.888888889,0.916666667,0.888888889,Dawn1,8,AudioSet
CBR64,8.33,10min,0.91509434,0.914351852,0.92260101,Dawn2,8,AudioSet
CBR64,8.33,10min,0.916666667,0.916534181,0.916666667,Dusk1,8,AudioSet
CBR64,8.33,10min,0.907407407,0.927536232,0.907407407,Dusk2,8,AudioSet
CBR64,8.33,10min,0.867924528,0.874097007,0.87037037,Midday1,8,AudioSet
CBR64,8.33,10min,0.935185185,0.939814815,0.935185185,Midday2,8,AudioSet
CBR64,8.33,10min,0.953703704,0.953925354,0.953703704,Midnight1,8,AudioSet
CBR64,8.33,10min,0.916666667,0.933333333,0.916666667,Midnight2,8,AudioSet
CBR8,1.04,10min,0.962962963,0.966666667,0.962962963,Dawn1,8,AudioSet
CBR8,1.04,10min,0.981132075,0.978472222,0.978472222,Dawn2,8,AudioSet
CBR8,1.04,10min,0.722222222,0.794654498,0.722222222,Dusk1,8,AudioSet
CBR8,1.04,10min,0.87037037,0.876739927,0.87037037,Dusk2,8,AudioSet
CBR8,1.04,10min,0.896226415,0.896696697,0.89537037,Midday1,8,AudioSet
CBR8,1.04,10min,0.916666667,0.920421401,0.916666667,Midday2,8,AudioSet
CBR8,1.04,10min,0.851851852,0.858934972,0.851851852,Midnight1,8,AudioSet
CBR8,1.04,10min,0.861111111,0.864253394,0.861111111,Midnight2,8,AudioSet
