compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR8,1.04,20min,0.833333333,0.838095238,0.833333333,Midnight,8,Analytical_Indices
CBR8,1.04,20min,0.811320755,0.783587509,0.757264957,Morning,8,Analytical_Indices
CBR8,1.04,5min,0.875,0.883186706,0.875,Afternoon,8,Analytical_Indices
CBR8,1.04,5min,0.833333333,0.83791772,0.833333333,Dawn,8,Analytical_Indices
CBR8,1.04,5min,0.657407407,0.666784245,0.657407407,Dusk,8,Analytical_Indices
CBR8,1.04,5min,0.833333333,0.837851038,0.833333333,Early AM,8,Analytical_Indices
CBR8,1.04,5min,0.689814815,0.733116883,0.689814815,Evening,8,Analytical_Indices
CBR8,1.04,5min,0.834862385,0.862635167,0.834175717,Midday,8,Analytical_Indices
CBR8,1.04,5min,0.75,0.748837822,0.75,Midnight,8,Analytical_Indices
CBR8,1.04,5min,0.810679612,0.802614379,0.804724795,Morning,8,Analytical_Indices
CBR8,1.04,10min,0.763888889,0.763720303,0.763888889,Dusk1,12,Analytical_Indices
CBR8,1.04,10min,0.583333333,0.594959254,0.583333333,Dusk2,12,Analytical_Indices
CBR8,1.04,10min,0.666666667,0.744444444,0.666666667,Dusk3,12,Analytical_Indices
CBR8,1.04,10min,0.861111111,0.885470085,0.861111111,Early AM1,12,Analytical_Indices
CBR8,1.04,10min,0.791666667,0.797964113,0.791666667,Early AM2,12,Analytical_Indices
CBR8,1.04,10min,0.914285714,0.908152735,0.896296296,Early AM3,12,Analytical_Indices
CBR8,1.04,10min,0.671428571,0.661284437,0.656746032,Midday1,12,Analytical_Indices
CBR8,1.04,10min,0.861111111,0.901960784,0.861111111,Midday2,12,Analytical_Indices
CBR8,1.04,10min,0.875,0.883390393,0.875,Midday3,12,Analytical_Indices
CBR8,1.04,10min,0.638888889,0.686574074,0.638888889,Midnight1,12,Analytical_Indices
CBR8,1.04,10min,0.763888889,0.861788618,0.763888889,Midnight2,12,Analytical_Indices
CBR8,1.04,10min,0.847222222,0.858271605,0.847222222,Midnight3,12,Analytical_Indices
CBR8,1.04,2_5min,0.788194444,0.788512977,0.788194444,Dusk1,12,Analytical_Indices
CBR8,1.04,2_5min,0.607638889,0.629212013,0.607638889,Dusk2,12,Analytical_Indices
CBR8,1.04,2_5min,0.666666667,0.717587718,0.666666667,Dusk3,12,Analytical_Indices
CBR8,1.04,2_5min,0.868055556,0.879181742,0.868055556,Early AM1,12,Analytical_Indices
CBR8,1.04,2_5min,0.854166667,0.86894366,0.854166667,Early AM2,12,Analytical_Indices
CBR8,1.04,2_5min,0.885714286,0.876193292,0.890451389,Early AM3,12,Analytical_Indices
CBR8,1.04,2_5min,0.725,0.724464754,0.712962963,Midday1,12,Analytical_Indices
CBR8,1.04,2_5min,0.847222222,0.866164875,0.847222222,Midday2,12,Analytical_Indices
CBR8,1.04,2_5min,0.857638889,0.859322498,0.857638889,Midday3,12,Analytical_Indices
CBR8,1.04,2_5min,0.496527778,0.541277436,0.496527778,Midnight1,12,Analytical_Indices
CBR8,1.04,2_5min,0.795138889,0.804485314,0.795138889,Midnight2,12,Analytical_Indices
CBR8,1.04,2_5min,0.930555556,0.932400932,0.930555556,Midnight3,12,Analytical_Indices
CBR8,1.04,20min,0.833333333,0.83015873,0.833333333,Dusk1,12,Analytical_Indices
CBR8,1.04,20min,0.638888889,0.632034632,0.638888889,Dusk2,12,Analytical_Indices
CBR8,1.04,20min,0.722222222,0.777777778,0.722222222,Dusk3,12,Analytical_Indices
CBR8,1.04,20min,0.861111111,0.885470085,0.861111111,Early AM1,12,Analytical_Indices
CBR8,1.04,20min,0.722222222,0.750992063,0.722222222,Early AM2,12,Analytical_Indices
CBR8,1.04,20min,0.942857143,0.950089127,0.925925926,Early AM3,12,Analytical_Indices
CBR8,1.04,20min,0.648648649,0.705820106,0.641203704,Midday1,12,Analytical_Indices
CBR8,1.04,20min,0.888888889,0.907692308,0.888888889,Midday2,12,Analytical_Indices
CBR8,1.04,20min,0.833333333,0.840384615,0.833333333,Midday3,12,Analytical_Indices
CBR8,1.04,20min,0.638888889,0.672735761,0.638888889,Midnight1,12,Analytical_Indices
CBR8,1.04,20min,0.805555556,0.877192982,0.805555556,Midnight2,12,Analytical_Indices
CBR8,1.04,20min,0.722222222,0.74537037,0.722222222,Midnight3,12,Analytical_Indices
CBR8,1.04,5min,0.8125,0.827258899,0.8125,Dusk1,12,Analytical_Indices
CBR8,1.04,5min,0.597222222,0.617848421,0.597222222,Dusk2,12,Analytical_Indices
CBR8,1.04,5min,0.652777778,0.717369548,0.652777778,Dusk3,12,Analytical_Indices
CBR8,1.04,5min,0.847222222,0.872865275,0.847222222,Early AM1,12,Analytical_Indices
CBR8,1.04,5min,0.819444444,0.824118627,0.819444444,Early AM2,12,Analytical_Indices
CBR8,1.04,5min,0.910447761,0.896621622,0.905710999,Early AM3,12,Analytical_Indices
CBR8,1.04,5min,0.671232877,0.689732143,0.658292484,Midday1,12,Analytical_Indices
CBR8,1.04,5min,0.916666667,0.924276121,0.916666667,Midday2,12,Analytical_Indices
CBR8,1.04,5min,0.854166667,0.858532465,0.854166667,Midday3,12,Analytical_Indices
CBR8,1.04,5min,0.625,0.626838823,0.625,Midnight1,12,Analytical_Indices
CBR8,1.04,5min,0.798611111,0.85968254,0.798611111,Midnight2,12,Analytical_Indices
CBR8,1.04,5min,0.909722222,0.915003695,0.909722222,Midnight3,12,Analytical_Indices
CBR16,2.08,10min,0.809080326,0.81102469,0.809109917,0121_sample0,None,Analytical_Indices
CBR16,2.08,2_5min,0.811287988,0.818958344,0.812060127,0204_sample6,None,Analytical_Indices
CBR16,2.08,20min,0.81627907,0.820921191,0.816246407,1,None,Analytical_Indices
CBR16,2.08,5min,0.812209302,0.816687566,0.812022153,1700_sample2,None,Analytical_Indices
CBR16,2.08,10min,0.947619048,0.951754386,0.946078431,Quarter_Day_Dawn,4,AudioSet
CBR16,2.08,10min,0.906976744,0.912222222,0.907276995,Quarter_Day_Dusk,4,AudioSet
CBR16,2.08,10min,0.952830189,0.954269549,0.953953954,Quarter_Day_Midday,4,AudioSet
CBR16,2.08,10min,0.932692308,0.936443293,0.932712215,Quarter_Day_Midnight,4,AudioSet
CBR16,2.08,2_5min,0.932242991,0.933999626,0.92939691,Quarter_Day_Dawn,4,AudioSet
CBR16,2.08,2_5min,0.913194444,0.917648664,0.913194444,Quarter_Day_Dusk,4,AudioSet
CBR16,2.08,2_5min,0.952981651,0.952336764,0.953966751,Quarter_Day_Midday,4,AudioSet
CBR16,2.08,2_5min,0.931712963,0.938640958,0.931712963,Quarter_Day_Midnight,4,AudioSet
CBR16,2.08,20min,0.953271028,0.952210275,0.950683304,Quarter_Day_Dawn,4,AudioSet
CBR16,2.08,20min,0.916666667,0.920454877,0.916666667,Quarter_Day_Dusk,4,AudioSet
CBR16,2.08,20min,0.963302752,0.962881563,0.964814815,Quarter_Day_Midday,4,AudioSet
CBR16,2.08,20min,0.935185185,0.942210503,0.935185185,Quarter_Day_Midnight,4,AudioSet
CBR16,2.08,5min,0.931279621,0.936669153,0.928896989,Quarter_Day_Dawn,4,AudioSet
CBR16,2.08,5min,0.902777778,0.908338178,0.902777778,Quarter_Day_Dusk,4,AudioSet
CBR16,2.08,5min,0.949308756,0.948178545,0.949964387,Quarter_Day_Midday,4,AudioSet
CBR16,2.08,5min,0.935185185,0.942854752,0.935185185,Quarter_Day_Midnight,4,AudioSet
CBR16,2.08,10min,0.962962963,0.963880289,0.962962963,Afternoon,8,AudioSet
CBR16,2.08,10min,0.952830189,0.959349593,0.953703704,Dawn,8,AudioSet
CBR16,2.08,10min,0.953271028,0.955388471,0.953439153,Dusk,8,AudioSet
CBR16,2.08,10min,0.932692308,0.944444444,0.933053221,Early AM,8,AudioSet
CBR16,2.08,10min,0.933962264,0.945736434,0.933333333,Evening,8,AudioSet
CBR16,2.08,10min,0.962616822,0.964555053,0.962698413,Midday,8,AudioSet
CBR16,2.08,10min,0.962264151,0.964912281,0.962962963,Midnight,8,AudioSet
CBR16,2.08,10min,0.98019802,0.976068376,0.97993311,Morning,8,AudioSet
CBR16,2.08,2_5min,0.972222222,0.972557681,0.972222222,Afternoon,8,AudioSet
CBR16,2.08,2_5min,0.930555556,0.935303315,0.930555556,Dawn,8,AudioSet
CBR16,2.08,2_5min,0.949074074,0.950635325,0.949074074,Dusk,8,AudioSet
CBR16,2.08,2_5min,0.935185185,0.945736434,0.935185185,Early AM,8,AudioSet
CBR16,2.08,2_5min,0.944444444,0.948529412,0.944444444,Evening,8,AudioSet
CBR16,2.08,2_5min,0.95,0.953145315,0.950048733,Midday,8,AudioSet
CBR16,2.08,2_5min,0.969907407,0.972399151,0.969907407,Midnight,8,AudioSet
CBR16,2.08,2_5min,0.964622642,0.955872578,0.961324786,Morning,8,AudioSet
CBR16,2.08,20min,0.962962963,0.962962963,0.962962963,Afternoon,8,AudioSet
CBR16,2.08,20min,0.907407407,0.927536232,0.907407407,Dawn,8,AudioSet
CBR16,2.08,20min,0.962962963,0.963937622,0.962962963,Dusk,8,AudioSet
CBR16,2.08,20min,0.888888889,0.888888889,0.888888889,Early AM,8,AudioSet
CBR16,2.08,20min,0.944444444,0.952380952,0.944444444,Evening,8,AudioSet
CBR16,2.08,20min,1,1,1,Midday,8,AudioSet
CBR16,2.08,20min,0.962962963,0.966666667,0.962962963,Midnight,8,AudioSet
CBR16,2.08,20min,1,1,1,Morning,8,AudioSet
CBR16,2.08,5min,0.972222222,0.972458172,0.972222222,Afternoon,8,AudioSet
CBR16,2.08,5min,0.925925926,0.934516029,0.925925926,Dawn,8,AudioSet
CBR16,2.08,5min,0.953703704,0.957738095,0.953703704,Dusk,8,AudioSet
CBR16,2.08,5min,0.944444444,0.952380952,0.944444444,Early AM,8,AudioSet
CBR16,2.08,5min,0.962962963,0.96442122,0.962962963,Evening,8,AudioSet
CBR16,2.08,5min,0.958715596,0.960761461,0.958820663,Midday,8,AudioSet
CBR16,2.08,5min,0.972222222,0.974358974,0.972222222,Midnight,8,AudioSet
CBR16,2.08,5min,0.961165049,0.951827957,0.957374337,Morning,8,AudioSet
CBR16,2.08,10min,0.875,0.895459976,0.875,Dusk1,12,AudioSet
CBR16,2.08,10min,1,1,1,Dusk2,12,AudioSet
CBR16,2.08,10min,0.861111111,0.901960784,0.861111111,Dusk3,12,AudioSet
CBR16,2.08,10min,0.774647887,0.803921569,0.775966184,Early AM1,12,AudioSet
CBR16,2.08,10min,1,1,1,Early AM2,12,AudioSet
CBR16,2.08,10min,1,1,1,Early AM3,12,AudioSet
CBR16,2.08,10min,0.956521739,0.951023392,0.955246914,Midday1,12,AudioSet
CBR16,2.08,10min,0.971830986,0.974358974,0.971618357,Midday2,12,AudioSet
CBR16,2.08,10min,0.958333333,0.95884058,0.958333333,Midday3,12,AudioSet
CBR16,2.08,10min,0.898550725,0.922222222,0.898550725,Midnight1,12,AudioSet
CBR16,2.08,10min,0.943661972,0.950617284,0.944444444,Midnight2,12,AudioSet
CBR16,2.08,10min,0.911764706,0.931034483,0.909090909,Midnight3,12,AudioSet
CBR16,2.08,2_5min,0.881944444,0.889425946,0.881944444,Dusk1,12,AudioSet
CBR16,2.08,2_5min,0.982638889,0.98349835,0.982638889,Dusk2,12,AudioSet
CBR16,2.08,2_5min,0.857638889,0.892530569,0.857638889,Dusk3,12,AudioSet
CBR16,2.08,2_5min,0.798611111,0.861666667,0.798611111,Early AM1,12,AudioSet
CBR16,2.08,2_5min,0.972222222,0.973253575,0.972222222,Early AM2,12,AudioSet
CBR16,2.08,2_5min,0.978571429,0.973765432,0.975173611,Early AM3,12,AudioSet
CBR16,2.08,2_5min,0.925675676,0.91619747,0.930266204,Midday1,12,AudioSet
